,EVENT_ID,FATALITY_AGE,FATALITY_SEX,FATALITY_LOCATION
543,715218,,M,Unknown
544,715242,,M,Golfing
545,715742,,M,In Water
546,717956,,,Unknown
547,717956,,,Unknown
548,717956,,,Unknown
549,717958,90.0,M,Unknown
550,717958,95.0,F,Unknown
551,717958,79.0,M,Unknown
552,718420,5.0,M,Telephone
553,719433,52.0,M,Unknown
554,719437,34.0,F,Permanent Home
555,719499,51.0,M,Outside/Open Areas
556,719499,52.0,M,Outside/Open Areas
557,719499,34.0,F,Permanent Home
558,719499,13.0,M,Permanent Home
559,719499,16.0,F,Permanent Home
560,719499,50.0,F,Vehicle/Towed Trailer
561,719500,64.0,M,Unknown
562,719501,85.0,M,Unknown
563,719629,,M,Permanent Home
564,719629,,F,Permanent Home
565,719634,,,Vehicle/Towed Trailer
566,719664,,M,Permanent Home
567,720204,32.0,M,In Water
568,721078,62.0,M,Outside/Open Areas
569,721078,38.0,M,Outside/Open Areas
570,721078,78.0,F,Permanent Home
571,721078,46.0,M,Permanent Structure
572,721079,26.0,F,Outside/Open Areas
573,721079,62.0,F,Permanent Home
574,721079,74.0,M,Permanent Home
575,721324,49.0,M,In Water
576,722189,47.0,M,In Water
577,722189,57.0,F,In Water
578,722549,87.0,M,Vehicle/Towed Trailer
579,722772,17.0,M,In Water
580,722895,35.0,M,Vehicle/Towed Trailer
581,722899,65.0,M,Outside/Open Areas
582,722903,46.0,M,In Water
583,722906,84.0,M,Outside/Open Areas
584,722906,74.0,M,Permanent Home
585,722906,69.0,F,Permanent Home
586,722906,29.0,M,Permanent Home
587,722909,69.0,M,Permanent Home
588,722909,65.0,M,Permanent Home
589,722909,26.0,M,Permanent Home
590,722909,59.0,M,Permanent Home
591,722909,69.0,M,Permanent Home
592,723026,,,Unknown
593,723026,,,Unknown
594,723026,,,Unknown
595,723026,,,Unknown
596,723026,,,Unknown
597,723026,,,Unknown
598,723026,,,Unknown
599,723026,,,Unknown
600,723026,,,Unknown
601,723026,,,Unknown
602,723026,,,Unknown
603,723026,,,Unknown
604,723026,,,Unknown
605,723026,,,Unknown
606,723026,,,Unknown
607,723026,,,Unknown
608,723026,,,Unknown
609,723026,,,Unknown
610,723026,,,Unknown
611,723026,,,Unknown
612,723026,86.0,M,Permanent Home
613,723055,65.0,M,Vehicle/Towed Trailer
614,723255,,,Unknown
615,723288,,,Unknown
616,723288,,,Unknown
617,723288,,,Unknown
618,723288,,,Unknown
619,723288,,,Unknown
620,723450,59.0,M,Unknown
621,723450,,,In Water
622,723450,,,Outside/Open Areas
623,723450,,M,Permanent Home
624,723457,61.0,F,Permanent Home
