,Unnamed: 0_x,STATE,EVENT_ID,YEAR,EVENT_TYPE,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,Unnamed: 0_y,FATALITY_AGE,FATALITY_SEX,FATALITY_LOCATION
1648,118778,ARIZONA,864906,2018,Heat,0,0,1,0,0.0,0.00K,1021,,,Unknown
1649,118779,ARIZONA,864907,2018,Heat,0,0,0,1,0.0,0.00K,1032,,,Unknown
1650,118780,ARIZONA,864908,2018,Heat,0,0,1,0,0.0,0.00K,1033,,,Unknown
1651,118781,ARIZONA,864909,2018,Heat,0,0,1,0,0.0,0.00K,1034,,,Unknown
1652,118798,ARIZONA,864892,2018,Heat,0,0,0,1,0.0,0.00K,992,,,Unknown
1653,118799,ARIZONA,864890,2018,Heat,0,0,1,0,0.0,0.00K,990,,,Unknown
1654,118800,ARIZONA,864891,2018,Heat,0,0,0,1,0.0,0.00K,991,,,Unknown
1655,118801,ARIZONA,864919,2018,Heat,0,0,1,0,0.0,0.00K,1037,,,Unknown
1656,118803,ARIZONA,867363,2018,Heat,0,0,0,1,0.0,0.00K,1116,,,Unknown
1657,118804,ARIZONA,867364,2018,Heat,0,0,0,1,0.0,0.00K,1117,,,Unknown
1658,118805,ARIZONA,867365,2018,Heat,0,0,1,0,0.0,0.00K,1118,,,Unknown
1659,118806,ARIZONA,867366,2018,Heat,0,0,0,1,0.0,0.00K,1119,,,Unknown
1660,118807,ARIZONA,867367,2018,Heat,0,0,1,0,0.0,0.00K,1120,,,Unknown
1661,118808,ARIZONA,867368,2018,Heat,0,0,0,1,0.0,0.00K,1121,,,Unknown
1662,118809,ARIZONA,867369,2018,Heat,0,0,0,1,0.0,0.00K,1122,,,Unknown
1663,118812,ARIZONA,867301,2018,Excessive Heat,0,0,2,0,0.0,0.00K,1100,,,Unknown
1664,118812,ARIZONA,867301,2018,Excessive Heat,0,0,2,0,0.0,0.00K,1101,,,Unknown
1665,118813,ARIZONA,867317,2018,Heat,0,0,0,1,0.0,0.00K,1102,,,Unknown
1666,118814,ARIZONA,867318,2018,Heat,0,0,0,1,0.0,0.00K,1103,,,Unknown
1667,118817,ARIZONA,867319,2018,Heat,0,0,1,0,0.0,0.00K,1104,,,Unknown
1668,118818,ARIZONA,867320,2018,Heat,0,0,1,0,0.0,0.00K,1105,,,Unknown
1669,118819,ARIZONA,867361,2018,Heat,0,0,0,1,0.0,0.00K,1114,,,Unknown
1670,118820,ARIZONA,867362,2018,Heat,0,0,1,0,0.0,0.00K,1115,,,Unknown
1671,118832,ARIZONA,867054,2018,Heat,0,0,1,0,0.0,0.00K,1084,65.0,M,Outside/Open Areas
1672,118845,ARIZONA,778943,2018,Excessive Heat,0,0,1,0,0.0,0.00K,1124,,M,Outside/Open Areas
1673,118852,ARIZONA,866455,2018,Excessive Heat,0,0,8,3,0.0,0.00K,1072,,,Unknown
1674,118852,ARIZONA,866455,2018,Excessive Heat,0,0,8,3,0.0,0.00K,1073,,,Unknown
1675,118852,ARIZONA,866455,2018,Excessive Heat,0,0,8,3,0.0,0.00K,1074,,,Unknown
1676,118852,ARIZONA,866455,2018,Excessive Heat,0,0,8,3,0.0,0.00K,1075,,,Unknown
1677,118852,ARIZONA,866455,2018,Excessive Heat,0,0,8,3,0.0,0.00K,1076,,,Unknown
1678,118852,ARIZONA,866455,2018,Excessive Heat,0,0,8,3,0.0,0.00K,1077,,,Unknown
1679,118852,ARIZONA,866455,2018,Excessive Heat,0,0,8,3,0.0,0.00K,1078,,,Unknown
1680,118852,ARIZONA,866455,2018,Excessive Heat,0,0,8,3,0.0,0.00K,1079,,,Unknown
1681,118852,ARIZONA,866455,2018,Excessive Heat,0,0,8,3,0.0,0.00K,1080,,,Unknown
1682,118852,ARIZONA,866455,2018,Excessive Heat,0,0,8,3,0.0,0.00K,1081,,,Unknown
1683,118852,ARIZONA,866455,2018,Excessive Heat,0,0,8,3,0.0,0.00K,1123,,,Unknown
1684,118857,ARIZONA,867295,2018,Excessive Heat,0,0,1,0,0.0,0.00K,1094,,,Unknown
1685,118858,ARIZONA,867296,2018,Excessive Heat,0,0,1,0,0.0,0.00K,1095,,,Unknown
1686,118859,ARIZONA,867297,2018,Excessive Heat,0,0,1,0,0.0,0.00K,1096,,,Unknown
1687,118860,ARIZONA,867298,2018,Excessive Heat,0,0,1,0,0.0,0.00K,1097,,,Unknown
1688,118861,ARIZONA,867299,2018,Excessive Heat,0,0,1,0,0.0,0.00K,1098,,,Unknown
1689,118926,MISSISSIPPI,785299,2018,Tornado,0,2,0,1,30000.0,0.00K,1768,19.0,F,Vehicle/Towed Trailer
1690,119020,TEXAS,788080,2018,Flash Flood,3,0,4,0,9000000.0,0.00K,1769,63.0,F,Camping
1691,119020,TEXAS,788080,2018,Flash Flood,3,0,4,0,9000000.0,0.00K,1770,65.0,M,Camping
1692,119020,TEXAS,788080,2018,Flash Flood,3,0,4,0,9000000.0,0.00K,1771,55.0,M,Camping
1693,119020,TEXAS,788080,2018,Flash Flood,3,0,4,0,9000000.0,0.00K,1772,51.0,M,Camping
1694,119036,MISSOURI,775196,2018,Thunderstorm Wind,0,0,17,0,0.0,0.00K,1751,69.0,F,Boating
1695,119036,MISSOURI,775196,2018,Thunderstorm Wind,0,0,17,0,0.0,0.00K,1752,45.0,F,Boating
1696,119036,MISSOURI,775196,2018,Thunderstorm Wind,0,0,17,0,0.0,0.00K,1753,2.0,M,Boating
1697,119036,MISSOURI,775196,2018,Thunderstorm Wind,0,0,17,0,0.0,0.00K,1754,7.0,M,Boating
1698,119036,MISSOURI,775196,2018,Thunderstorm Wind,0,0,17,0,0.0,0.00K,1755,9.0,M,Boating
1699,119036,MISSOURI,775196,2018,Thunderstorm Wind,0,0,17,0,0.0,0.00K,1756,1.0,F,Boating
1700,119036,MISSOURI,775196,2018,Thunderstorm Wind,0,0,17,0,0.0,0.00K,1757,15.0,M,Boating
1701,119036,MISSOURI,775196,2018,Thunderstorm Wind,0,0,17,0,0.0,0.00K,1758,40.0,M,Boating
1702,119036,MISSOURI,775196,2018,Thunderstorm Wind,0,0,17,0,0.0,0.00K,1759,53.0,M,Boating
1703,119036,MISSOURI,775196,2018,Thunderstorm Wind,0,0,17,0,0.0,0.00K,1760,76.0,M,Boating
1704,119036,MISSOURI,775196,2018,Thunderstorm Wind,0,0,17,0,0.0,0.00K,1761,73.0,M,Boating
1705,119036,MISSOURI,775196,2018,Thunderstorm Wind,0,0,17,0,0.0,0.00K,1762,69.0,M,Boating
1706,119036,MISSOURI,775196,2018,Thunderstorm Wind,0,0,17,0,0.0,0.00K,1763,65.0,M,Boating
1707,119036,MISSOURI,775196,2018,Thunderstorm Wind,0,0,17,0,0.0,0.00K,1764,63.0,F,Boating
1708,119036,MISSOURI,775196,2018,Thunderstorm Wind,0,0,17,0,0.0,0.00K,1765,64.0,F,Boating
1709,119036,MISSOURI,775196,2018,Thunderstorm Wind,0,0,17,0,0.0,0.00K,1766,68.0,F,Boating
1710,119036,MISSOURI,775196,2018,Thunderstorm Wind,0,0,17,0,0.0,0.00K,1767,70.0,M,Boating
1711,119058,ARIZONA,745618,2018,Dust Storm,0,0,0,1,0.0,0.00K,1196,32.0,M,Outside/Open Areas
